,word1,word2,similarity
1131,squeak,squeal,7.47
1132,begin,finish,1.83
1133,throw,fling,8.3
1134,interrupt,break,4.65
1135,justify,argue,5.48
1136,pluck,pull,6.47
1137,evaluate,judge,8.47
1138,diminish,shrink,6.97
1139,flush,embarrass,4.65
1140,make,create,8.6
1141,change,become,5.48
1142,advise,help,6.97
1143,bump,knock,7.47
1144,pounce,hit,2.49
1145,crackle,snap,3.92
1146,listen,watch,1.16
1147,hurt,burn,2.99
1148,achieve,excel,7.64
1149,surprise,overwhelm,4.81
1150,leave,visit,1.99
1151,arrest,suspect,3.82
1152,accomplish,finish,6.97
1153,tell,predict,5.48
1154,spring,bounce,8.8
1155,accept,decline,0
1156,laugh,enjoy,5.98
1157,admit,say,4.98
1158,win,overcome,5.31
1159,portray,imitate,7.64
1160,rip,mend,1.49
1161,hold,stay,4.48
1162,choke,smother,6.14
1163,cook,fry,6.64
1164,dunk,soak,5.48
1165,jump,pounce,7.97
1166,help,scream,1.16
1167,grab,snatch,7.97
1168,humiliate,laugh,0.17
1169,review,read,4.32
1170,wear,fit,4.81
1171,confuse,frustrate,5.15
1172,go,enter,5.81
1173,repeat,mimic,8.13
1174,fly,ascend,6.64
1175,do,dare,1.66
1176,win,accomplish,5.81
1177,vanish,diminish,6.81
1178,dance,tap,2.66
1179,fit,trim,3.65
1180,send,give,5.48
1181,add,accumulate,8.47
1182,give,lend,6.49
1183,disappoint,betray,3.49
1184,forbid,stop,7.8
1185,blame,accuse,8.47
1186,disallow,discourage,5.48
1187,recommend,tell,4.48
1188,win,dominate,3.65
1189,dissolve,melt,6.31
1190,slither,crawl,6.81
1191,grab,seize,7.14
1192,swim,drown,1.49
1193,discover,invent,5.31
1194,tell,remind,5.64
1195,call,talk,4.98
1196,justify,explain,8.13
1197,tease,play,5.48
1198,fill,cover,3.49
1199,help,warn,3.82
1200,put,give,2.99
1201,avoid,shun,7.47
1202,relax,soothe,6.31
1203,hate,despise,9.46
1204,understand,clarify,4.15
1205,fix,heal,7.09
1206,capture,release,0.66
1207,achieve,strive,4.15
1208,condemn,ridicule,4.48
1209,educate,inform,8.47
1210,upset,disappoint,6.97
1211,reduce,subtract,8.8
1212,follow,trail,7.47
1213,hustle,dance,3.82
1214,cast,break,1.33
1215,greet,meet,5.98
1216,breathe,exhale,7.8
1217,attend,come,8.75
1218,hurt,insult,5.81
1219,strive,seek,6.97
1220,mend,heal,6.81
1221,steal,snatch,6.34
1222,lie,lay,6.31
1223,stop,wait,5.31
1224,incline,rise,3.62
1225,swim,meet,0.5
1226,change,turn,4.15
1227,forgive,beg,0.66
1228,hide,scare,2.16
1229,rearrange,move,8.3
1230,build,construct,9.96
1231,hit,attack,6.81
1232,criticize,offend,3.32
1233,lick,taste,4.98
1234,succeed,achieve,7.8
1235,exchange,return,5.48
1236,annoy,disturb,7.3
1237,broil,burn,2.66
1238,convince,agree,1.16
1239,complain,annoy,2.66
1240,slap,pat,2.99
1241,fasten,loosen,0.33
1242,overcome,triumph,8.63
1243,scratch,scribble,4.15
1244,crash,smash,6.81
1245,sip,swallow,5.15
1246,sniff,scratch,0.5
1247,decide,analyze,2.66
1248,swap,fly,1
1249,avoid,miss,9.13
1250,try,convince,1.83
1251,enjoy,live,2.82
1252,respect,acknowledge,4.98
1253,concentrate,learn,3.49
1254,perish,die,9.46
1255,slip,slide,5.73
1256,irritate,bother,8.63
1257,destroy,make,2.26
1258,divide,separate,7.97
1259,lounge,relax,7.8
1260,appear,show,4.98
1261,toss,catch,3.49
1262,leap,bound,7.64
1263,change,shift,6.81
1264,hurt,disappoint,5.15
1265,conquer,control,6.47
1266,despair,cry,5.64
1267,divide,split,9.3
1268,bluff,lie,7.14
1269,sip,slurp,5.81
1270,cook,poach,3.92
1271,smash,crush,9.46
1272,sneeze,sniff,2.82
1273,throw,kick,1.66
1274,flap,cover,0.66
1275,dip,chew,1.99
1276,pull,press,2.49
1277,embarrass,insult,5.15
1278,talk,persuade,4.15
1279,disguise,cover,5.58
1280,shine,rise,2.16
1281,hold,seize,4.81
1282,get,give,1.49
1283,attend,leave,1.16
1284,prosper,gain,7.3
1285,predict,guess,7.8
1286,hamper,bother,4.98
1287,move,walk,6.81
1288,stir,blend,7.14
1289,leave,travel,5.98
1290,hesitate,pause,8.13
1291,tap,rap,4.48
1292,combine,add,7.64
1293,like,enjoy,8.63
1294,travel,fly,5.48
1295,move,haul,7.14
1296,die,condemn,1.33
1297,sting,bite,3.32
1298,build,accumulate,3.98
1299,wear,adorn,3.98
1300,pick,prefer,6.47
1301,wag,move,3.62
1302,send,return,1.99
1303,hurt,squeeze,2.82
1304,separate,remove,5.15
1305,ignore,forget,2.32
1306,depend,rely,9.46
1307,release,give,3.32
1308,soak,drench,9.13
1309,advance,pay,2.99
1310,catch,lose,1
1311,roam,follow,2.82
1312,read,spell,1.33
1313,excel,win,6.14
1314,forbid,allow,0.17
1315,tan,burn,3.65
1316,pause,stop,6.64
1317,confess,deny,0
1318,express,say,6.31
1319,change,rearrange,7.3
1320,win,defeat,1.49
1321,disintegrate,destroy,6.97
1322,prohibit,allow,0.5
1323,allow,ban,1.49
1324,swallow,gulp,8.13
1325,shuffle,ride,1
1326,argue,agree,1.66
1327,slip,cover,2.16
1328,punish,scold,6.94
1329,fall,stand,0.83
1330,confess,tell,6.31
1331,condemn,punish,6.14
1332,fade,tarnish,2.49
1333,fade,disappear,8.3
1334,urge,suggest,5.89
1335,confuse,explain,1.16
1336,demolish,break,7.47
1337,attend,go,7.14
1338,rap,knock,6.64
1339,direct,steer,6.97
1340,transplant,replace,4.98
1341,hurt,soar,0.66
1342,crunch,break,4.81
1343,warn,tell,6.14
1344,recruit,get,6.47
1345,decorate,adorn,6.81
1346,run,hustle,3.15
1347,have,give,1.49
1348,sip,stir,1.16
1349,chop,grate,3.49
1350,suspect,think,6.64
1351,hate,like,1.16
1352,prohibit,disallow,9.63
1353,aim,shoot,3.32
1354,fix,alter,4.32
1355,compete,fight,6.14
1356,ridicule,criticize,5.15
1357,obtain,acquire,9.79
1358,succeed,prosper,7.8
1359,glide,fly,7.14
1360,duplicate,repeat,7.14
1361,gather,recruit,5.48
1362,replace,give,1.83
1363,ask,try,1.33
1364,make,prepare,7.3
1365,touch,pat,7.3
1366,show,hide,2.16
1367,remember,remind,5.98
1368,disintegrate,integrate,1.06
1369,annihilate,demolish,8.6
1370,hit,knock,5.98
1371,cry,humiliate,2.16
1372,testify,judge,3.15
1373,call,notify,5.64
1374,forget,remember,0.17
1375,talk,participate,3.98
1376,spend,use,3.49
1377,try,succeed,3.98
1378,punish,spank,5.89
1379,grow,raise,7.14
1380,steal,lie,2.66
1381,blur,see,1.49
1382,holler,scold,4.65
1383,descend,fall,8.3
1384,jump,leap,9.63
1385,recruit,join,3.98
1386,fight,hit,6.31
1387,shake,bake,0.17
1388,decide,choose,8.8
1389,do,achieve,6.81
1390,fight,struggle,5.81
1391,think,guess,2.99
1392,define,clarify,7.3
1393,speak,talk,9.3
1394,separate,split,9.13
1395,cast,play,4.48
1396,condemn,damn,9.63
1397,replace,remove,3.15
1398,throw,chuck,8.47
1399,accept,take,8.3
1400,strain,struggle,6.97
1401,steer,veer,3.49
1402,break,burst,5.31
1403,criticize,hate,2.66
1404,burn,fry,5.81
1405,attack,pounce,5.98
1406,sip,taste,4.48
1407,hope,despair,0.33
1408,decorate,change,4.48
1409,say,tell,7.47
1410,originate,create,5.64
1411,lie,believe,0.17
1412,hurt,sting,4.81
1413,crash,break,5.64
1414,remove,leave,4.48
1415,hold,release,1.16
1416,walk,ride,1
1417,urge,want,3.32
1418,make,construct,7.97
1419,fix,solve,7.47
1420,promise,break,0.33
1421,leave,arrive,0.17
1422,pretend,play,5.31
1423,explode,erupt,8.3
1424,agree,accept,6.81
1425,steal,borrow,2.49
1426,learn,think,5.64
1427,turn,stir,4.68
1428,presume,guess,6.97
1429,munch,crunch,6.14
1430,pay,receive,1.83
1431,destroy,condemn,1.16
1432,admit,confess,9.13
1433,integrate,blend,7.3
1434,crack,break,7.64
1435,respect,salute,4.81
1436,rearrange,fix,2.32
1437,move,hustle,4.65
1438,snap,bite,6.47
1439,excuse,lie,3.82
1440,dominate,control,7.8
1441,speak,communicate,8.47
1442,destroy,restore,0.83
1443,despair,help,0.15
1444,bump,push,3.62
1445,persuade,change,4.65
1446,hurt,sprain,5.81
1447,divide,subtract,2.16
1448,understand,develop,3.15
1449,bother,disturb,8.13
1450,gamble,waste,3.15
1451,explain,excuse,2.32
1452,calculate,determine,6.47
1453,offend,defend,1
1454,comfort,soothe,7.3
1455,connect,join,8.63
1456,dip,dunk,7.3
1457,grasp,clench,8.8
1458,hold,squeeze,3.15
1459,hurry,hustle,5.98
1460,strain,drain,3.49
1461,sing,perform,4.98
1462,kill,smother,4.81
1463,say,reply,6.47
1464,look,seek,8.13
1465,put,lay,4.98
1466,think,analyze,7.97
1467,giggle,laugh,9.3
1468,comfort,snuggle,6.97
1469,hate,kill,1.33
1470,despise,like,1.33
1471,grant,assume,1.99
1472,deny,accuse,1.66
1473,admire,like,8.8
1474,rely,need,3.82
1475,die,disintegrate,3.15
1476,squeeze,hug,6.64
1477,speak,remark,6.64
1478,climb,ascend,8.3
1479,seem,look,3.98
1480,live,survive,6.81
1481,exchange,barter,7.64
1482,go,wait,0.3
1483,fold,bend,8.13
1484,let,give,4.81
1485,waste,want,0.33
1486,increase,decline,0.5
1487,look,perceive,4.98
1488,pause,break,6.64
1489,drift,sway,5.43
1490,develop,build,7.47
1491,request,ask,8.3
1492,roam,wander,9.13
1493,fail,cheat,1.33
1494,sing,rejoice,3.15
1495,accumulate,gather,8.96
1496,succeed,attempt,2.16
1497,save,spare,5.98
1498,prohibit,forbid,9.46
1499,wander,drift,8.13
1500,grab,grasp,7.47
1501,attack,hurt,6.31
1502,forgive,forget,1
1503,obey,listen,5.81
1504,like,dislike,0.17
1505,bounce,jump,6.81
1506,throw,toss,8.6
1507,argue,disprove,6.47
1508,defrost,cook,1.66
1509,seek,hide,0.17
1510,wreck,destroy,9.13
1511,buzz,fly,3.65
1512,stop,move,0
1513,debate,argue,7.97
1514,break,split,7.47
1515,lose,stray,2.82
1516,draw,design,5.81
1517,worry,concern,7.8
1518,update,inform,6.14
1519,remark,reply,6.64
1520,move,flow,6.64
1521,jump,run,0.83
1522,return,reappear,6.64
1523,wait,hold,5.15
1524,lower,lift,1.49
1525,breathe,live,2.16
1526,hate,dislike,6.47
1527,munch,chew,9.3
1528,steal,buy,1.16
1529,separate,depart,4.65
1530,announce,renounce,1.49
1531,hit,run,0.17
1532,talk,whisper,5.31
1533,drink,slurp,6.94
1534,lay,stand,0.66
1535,move,vacate,6.14
1536,demand,ask,3.32
1537,instruct,teach,8.8
1538,look,find,4.98
1539,return,go,2.49
1540,disappoint,fail,5.58
1541,bend,lean,5.31
1542,listen,understand,5.15
1543,leave,disperse,5.64
1544,introduce,know,2.49
1545,ignore,acknowledge,1
1546,deceive,cheat,8.3
1547,develop,learn,6.64
1548,announce,speak,6.64
1549,decorate,fix,3.15
1550,win,achieve,7.8
1551,grow,develop,8.13
1552,push,press,6.47
1553,look,evaluate,5.15
1554,know,realize,6.31
1555,lose,disown,1.33
1556,repair,fix,9.96
1557,drink,blend,1
1558,fail,discourage,2.82
1559,multiply,divide,0.5
1560,punish,prosecute,7.64
1561,debate,fight,6.64
1562,convince,argue,4.15
1563,inform,tell,8.63
1564,earn,spend,1.16
1565,live,die,0.5
1566,disappear,appear,0.83
1567,mix,drink,0.83
1568,cry,tear,3.32
1569,capture,catch,9.3
1570,control,operate,7.8
1571,add,gain,6.81
1572,diminish,deteriorate,7.64
1573,destroy,conquer,6.14
1574,read,comprehend,5.81
1575,promise,keep,3.49
1576,borrow,return,0.5
1577,take,steal,6.31
1578,disperse,give,5.15
1579,seem,be,4.81
1580,sneeze,bless,0.33
1581,discover,learn,6.81
1582,sink,swim,1
1583,seek,find,6.47
1584,chase,run,5.64
1585,increase,magnify,6.81
1586,dunk,sink,4.32
1587,bother,nag,7.97
1588,tell,respond,3.98
1589,reappear,show,4.81
1590,agree,please,5.48
1591,create,destroy,1
1592,learn,understand,6.31
1593,explain,clarify,8.8
1594,attend,join,3.82
1595,unite,tie,3.32
1596,collect,accumulate,8.47
1597,cuddle,hug,8.47
1598,seize,grasp,7.47
1599,enter,participate,7.14
1600,move,transplant,6.31
1601,drink,stir,1.33
1602,hang,kill,4.32
1603,ask,plead,4.81
1604,evaluate,determine,6.47
1605,decompose,deteriorate,7.97
1606,steal,abduct,5.64
1607,break,restore,0.33
1608,obtain,receive,8.13
1609,perceive,deceive,0.17
1610,define,explain,8.3
1611,hold,capture,7.97
1612,detach,tear,6.79
1613,preview,watch,6.14
1614,lean,trim,2.41
1615,stop,yield,5.48
1616,chew,swallow,2.99
1617,argue,yell,5.48
1618,look,analyze,5.48
1619,exchange,replace,6.14
1620,smash,hit,6.47
1621,hold,embrace,8.3
1622,grind,dance,4.81
1623,split,detach,5.31
1624,buy,replace,4.32
1625,snore,annoy,1.49
1626,break,detach,6.14
1627,play,show,2.32
1628,punish,hurt,4.98
1629,hate,regret,1
1630,analyze,criticize,5.31
1631,win,succeed,8.47
1632,fly,flutter,5.15
1633,walk,wander,7.14
1634,glow,shine,8.63
1635,scold,reprimand,9.63
1636,dig,bury,3.82
1637,exhale,inhale,1
1638,lay,relax,5.98
1639,depart,leave,9.66
1640,forget,learn,0.5
1641,toss,chuck,9.13
1642,get,bring,3.62
1643,help,please,2.49
1644,slide,slither,6.47
1645,refrain,keep,2.32
1646,beat,fight,5.81
1647,urge,desire,6.64
1648,discourage,disappoint,3.98
1649,soothe,hurt,0.5
1650,fasten,snap,5.31
1651,sink,fall,4.48
1652,give,award,6.31
1653,integrate,mix,6.81
1654,kill,crush,2.99
1655,accuse,prosecute,5.48
1656,spread,gather,0.66
1657,accomplish,overcome,5.81
1658,touch,grab,4.65
1659,grind,bump,3.82
1660,shake,stir,4.15
1661,pick,pluck,5.98
1662,return,come,3.02
1663,lift,push,1.99
1664,squeeze,play,0.66
1665,vanish,disappear,9.46
1666,betray,deceive,7.3
1667,persuade,convince,8.8
1668,give,exchange,3.15
1669,scare,shake,1.16
1670,flip,turn,6.31
1671,snap,crack,6.81
1672,cheat,lose,1.16
1673,see,acknowledge,5.64
1674,return,retreat,6.31
1675,cheat,lie,5.15
1676,pop,snap,4.48
1677,fall,catch,1
1678,see,glance,6.47
1679,excuse,rationalize,5.15
1680,decrease,diminish,7.97
1681,deny,object,7.24
1682,freeze,thaw,0
1683,conquer,defeat,6.81
1684,discuss,debate,5.81
1685,know,decide,2.99
1686,snooze,nap,8.8
1687,believe,doubt,1
1688,walk,stand,3.15
1689,acknowledge,know,3.98
1690,draw,write,4.98
1691,greet,introduce,6.49
1692,overwhelm,overcome,2.72
1693,refuse,deny,7.8
1694,accuse,frame,3.49
1695,croak,die,7.97
1696,wait,call,0.66
1697,play,practice,2.66
1698,ascend,rise,8.96
1699,poise,stand,5.64
1700,hug,kiss,2.49
1701,perceive,hear,4.15
1702,rationalize,talk,2.99
1703,say,repeat,3.65
1704,stop,retain,2.32
1705,run,sweat,3.32
1706,flutter,move,5.98
1707,engage,start,5.81
1708,recommend,advise,8.63
1709,delay,start,0.33
1710,give,pay,4.81
1711,amaze,surprise,8.13
1712,glide,soar,7.47
1713,melt,boil,4.48
1714,spend,buy,6.97
1715,dislike,despise,8.63
1716,break,fix,1.16
1717,give,demand,0.66
1718,polish,rub,5.48
1719,fail,succeed,1.49
1720,conquer,beat,8.47
1721,smother,cover,7.14
1722,die,decay,5.98
1723,assume,think,5.15
1724,go,run,2.82
1725,walk,run,2.99
1726,walk,roam,5.98
1727,wait,stand,2.82
1728,preview,review,5.15
1729,judge,accuse,4.32
1730,understand,acknowledge,5.48
1731,leave,wait,0.66
1732,dance,flash,0.66
1733,desire,want,9.46
1734,convince,believe,5.15
1735,run,move,6.31
1736,humiliate,degrade,8.63
1737,move,unload,4.15
1738,take,abduct,7.47
1739,accuse,lie,0.66
1740,scramble,mix,7.14
1741,multiply,reproduce,8.13
1742,win,fail,0.33
1743,insult,degrade,7.8
1744,excuse,justify,5.15
1745,hate,disgust,4.98
1746,hit,hurt,4.23
1747,succeed,excel,7.8
1748,disappear,disintegrate,5.43
1749,pay,raise,1.66
1750,deny,stop,3.82
1751,stand,sit,1.33
1752,worry,think,2.57
1753,exist,be,8.47
1754,tire,tread,1.99
1755,swim,tread,4.65
1756,lay,sit,2.99
1757,decompose,die,2.82
1758,stay,sit,5.15
1759,get,receive,7.97
1760,urge,convince,5.58
1761,reappear,see,3.15
1762,drain,sink,3.15
1763,deliver,arrive,4.68
1764,think,suppose,6.64
1765,discover,find,9.13
1766,lift,raise,9.13
1767,play,enjoy,4.98
1768,incline,lean,5.81
1769,climb,descend,0.33
1770,smear,smudge,8.13
1771,mix,combine,8.13
1772,advise,talk,4.81
1773,achieve,fail,0.15
1774,obtain,take,7.64
1775,assume,predict,3.98
1776,punch,slap,5.31
1777,attach,combine,6.64
1778,walk,tread,6.97
1779,learn,educate,3.49
1780,pull,grab,3.49
1781,ascend,fall,0.66
1782,defend,attack,1
1783,build,restore,4.98
1784,forget,remind,0.5
1785,correct,disprove,2.26
1786,drink,sip,7.64
1787,bound,jump,5.64
1788,stare,watch,7.64
1789,scramble,run,4.65
1790,beat,pelt,4.81
1791,judge,criticize,5.98
1792,save,protect,7.97
1793,run,avoid,3.98
1794,join,belong,5.98
1795,cast,throw,4.98
1796,aid,help,9.3
1797,beware,warn,7.14
1798,tie,fasten,7.8
1799,play,amuse,4.81
1800,tell,renounce,1.66
1801,disallow,allow,0.5
1802,respect,adore,4.65
1803,lick,bite,1.99
1804,save,collect,4.65
1805,announce,inform,7.8
1806,bring,forget,0.66
1807,drink,pour,2.32
1808,steal,kidnap,6.14
1809,strip,tease,2.99
1810,bother,annoy,8.96
1811,take,unload,2.16
1812,alter,rearrange,6.31
1813,vanish,disintegrate,6.64
1814,stink,smell,8.63
1815,yearn,strive,5.15
1816,ask,receive,0.5
1817,wiggle,dance,5.15
1818,carry,deliver,3.82
1819,repair,break,0.17
1820,stop,interrupt,5.98
1821,move,advance,6.81
1822,limp,walk,3.82
1823,disgust,offend,8.3
1824,smother,kiss,2.66
1825,break,escape,2.82
1826,keep,stay,3.15
1827,keep,take,2.66
1828,admire,respect,7.14
1829,slip,fall,6.94
1830,release,press,0.83
1831,participate,join,5.64
1832,know,perceive,4.98
1833,look,glare,5.15
1834,rebel,yell,1.81
1835,wiggle,tickle,2.32
1836,refuse,agree,0.66
1837,spring,fall,1
1838,save,accumulate,6.94
1839,count,add,7.09
1840,hurt,betray,3.82
1841,gain,obtain,7.64
1842,produce,make,8.9
1843,decline,advance,1.33
1844,yield,wait,5.64
1845,accumulate,grow,7.14
1846,give,take,1.49
1847,deny,regret,1
1848,watch,observe,9.46
1849,gain,achieve,5.15
1850,hurt,slap,4.65
1851,dismiss,release,5.81
1852,perceive,see,7.97
1853,assault,kill,5.81
1854,follow,search,2.49
1855,see,preview,7.97
1856,reply,speak,5.48
1857,suggest,talk,2.82
1858,hate,glare,4.15
1859,finish,graduate,5.31
1860,stay,leave,0.17
1861,calculate,compute,6.64
1862,break,sprain,4.48
1863,start,stop,0.33
1864,broil,fry,3.32
1865,cry,disappoint,1.16
1866,fly,flap,4.32
1867,elect,win,4.15
1868,disappear,reappear,0.66
1869,leave,avoid,3.65
1870,preview,sneak,3.32
1871,hunt,find,6.97
1872,carry,haul,8.3
1873,aim,strive,7.8
1874,crave,desire,8.63
1875,assault,fight,7.24
1876,talk,sing,2.99
1877,demolish,smash,8.47
1878,say,do,1.33
1879,forbid,permit,0.66
1880,stab,kill,4.81
1881,refuse,decline,9.13
1882,disown,leave,6.04
1883,usurp,take,4.65
1884,know,comprehend,7.64
1885,sing,dance,1.99
1886,fight,defend,6.47
1887,deal,barter,7.3
1888,repress,hold,5.81
1889,cough,swallow,1.99
1890,scare,scream,2.49
1891,give,deny,1.33
1892,stop,ban,6.34
1893,stop,refrain,6.47
1894,acquire,ask,1.16
1895,originate,discover,3.49
1896,holler,scream,7.8
1897,fight,argue,7.14
1898,dump,throw,4.15
1899,connect,attach,7.64
1900,rub,pat,5.31
1901,hurt,stab,5.28
1902,allow,admit,7.64
1903,know,define,4.15
1904,choke,kill,5.64
1905,wreck,smash,8.3
1906,correct,prove,3.98
1907,take,get,4.81
1908,earn,make,5.98
1909,bring,take,2.11
1910,snuggle,cuddle,8.47
1911,release,pardon,6.31
1912,fill,pour,6.14
1913,select,pick,9.63
1914,select,choose,9.13
1915,hunt,shoot,7.14
1916,enjoy,hate,0.17
1917,stand,kneel,0.66
1918,judge,decide,6.81
1919,use,abuse,2.99
1920,kiss,embrace,6.31
1921,beat,assault,7.8
1922,bury,die,3.32
1923,overpower,struggle,1.99
1924,ban,forbid,9.13
1925,forget,know,1.16
1926,pinch,bite,2.49
1927,stretch,reach,6.31
1928,conquer,divide,1
1929,hear,listen,6.64
1930,drag,haul,8.45
1931,spill,drink,1.49
1932,ignore,neglect,8.96
1933,avoid,neglect,5.31
1934,wrap,foil,2.99
1935,need,want,1.99
1936,give,keep,0.83
1937,imitate,mimic,9.63
1938,prove,convince,5.48
1939,keep,reserve,6.81
1940,carry,lift,7.3
1941,decrease,descend,5.81
1942,write,compose,6.81
1943,show,see,5.15
1944,relax,sit,4.48
1945,create,design,8.13
1946,build,create,6.64
1947,tear,sob,5.31
1948,hurt,criticize,3.65
1949,play,participate,4.81
1950,kill,smash,5.48
1951,do,accomplish,6.97
1952,shake,wag,5.81
1953,spill,splash,4.48
1954,gather,meet,7.47
1955,hold,cuddle,6.47
1956,decrease,reduce,9.63
1957,instruct,direct,6.47
1958,advise,tell,8.13
1959,divide,add,0
1960,shine,glare,3.65
1961,glide,float,5.48
1962,rebel,fight,6.47
1963,sit,jump,1.33
1964,evaluate,think,7.97
1965,move,crawl,3.65
1966,comfort,help,6.14
1967,weep,cry,9.3
1968,recommend,help,4.98
1969,speak,whisper,5.15
1970,glow,burn,4.32
1971,annihilate,destroy,8.8
1972,erupt,blow,5.64
1973,say,ask,4.15
1974,ask,want,3.15
1975,touch,rub,5.64
1976,attract,like,3.32
1977,excuse,pardon,9.63
1978,attend,participate,4.15
1979,disintegrate,deteriorate,6.34
1980,hug,embrace,8.63
1981,look,listen,1.16
1982,capture,seize,8.3
1983,complain,argue,5.31
1984,hang,hold,3.82
1985,inquire,ask,8.47
1986,acknowledge,show,2.82
1987,pinch,hurt,5.64
1988,pause,wait,8.8
1989,know,predict,3.49
1990,defeat,overcome,6.81
1991,shake,wiggle,6.31
1992,take,borrow,5.81
1993,trail,lead,2.32
1994,hear,speak,1
1995,use,borrow,3.65
1996,vary,change,8.63
1997,analyze,evaluate,8.13
1998,run,roam,4.15
1999,reach,get,6.81
2000,lose,keep,0
2001,argue,demand,3.82
2002,crunch,smash,6.81
2003,stir,mix,8.3
2004,reach,grasp,4.15
2005,reject,take,0.33
2006,prefer,choose,5.64
2007,push,tug,0.66
2008,hit,kick,4.65
2009,smear,spread,7.97
2010,crash,demolish,5.15
2011,gain,succeed,4.15
2012,burn,cook,2.66
2013,strive,excel,5.15
2014,destroy,perish,3.98
2015,remain,leave,0.5
2016,tear,sew,0.5
2017,engage,begin,6.14
2018,descend,come,2.82
2019,neglect,forget,4.32
2020,believe,understand,3.98
2021,stay,retain,4.65
2022,become,succeed,3.98
2023,understand,realize,7.97
2024,make,build,9.3
2025,erode,fade,5.89
2026,laugh,chuck,2.49
2027,touch,reach,3.65
2028,cook,grill,6.64
2029,look,watch,8.3
2030,laugh,cry,0
2031,yield,give,6.31
2032,take,refuse,1.66
2033,tell,explain,6.64
2034,plead,beg,9.46
2035,want,beg,3.15
2036,participate,say,3.82
2037,allow,permit,9.63
2038,erupt,burst,6.97
2039,capture,escape,0.5
2040,beat,pounce,2.82
2041,broil,boil,2.99
2042,arrive,come,7.14
2043,disown,forget,1.66
2044,seize,stop,5.81
2045,request,want,6.47
2046,rush,hustle,6.97
2047,admire,want,4.81
2048,rescue,help,6.47
2049,cry,worry,3.65
2050,stop,repress,5.98
2051,imagine,think,7.64
2052,control,run,1.36
2053,try,do,4.32
2054,pull,tug,9.3
2055,beat,win,8.13
2056,add,subtract,1.16
2057,overpower,dominate,8.47
2058,swoon,fall,5.64
2059,realize,acknowledge,7.64
2060,beg,steal,0.5
2061,flex,bend,7.97
2062,mistreat,abuse,8.96
2063,toil,sweat,5.48
2064,lose,compete,1.49
2065,see,visit,6.14
2066,decline,fall,6.31
2067,waste,save,1
2068,worry,doubt,5.89
2069,leave,stray,5.64
2070,criticize,complain,4.81
2071,show,tell,2.82
2072,understand,know,6.34
2073,attend,miss,0.5
2074,decline,deny,6.81
2075,bound,tie,8.96
2076,avoid,dislike,3.62
2077,climb,hike,7.64
2078,fall,jump,1.49
2079,like,prefer,8.8
2080,laugh,ridicule,4.65
2081,show,direct,6.64
2082,stamp,collect,1.16
2083,recommend,like,3.98
2084,flee,run,8.3
2085,lend,borrow,3.49
2086,criticize,argue,4.65
2087,smother,hug,3.98
2088,obtain,steal,3.98
2089,catch,receive,6.97
2090,stare,glare,5.98
2091,stir,fry,1.83
2092,talk,explain,5.98
2093,perceive,get,3.98
2094,leave,walk,1.83
2095,reappear,repeat,2.82
2096,whip,hit,6.47
2097,leave,release,3.49
2098,rattle,shake,6.97
2099,promise,swear,8.3
2100,look,squint,4.81
2101,drink,swallow,4.98
2102,claim,say,5.81
2103,decide,think,4.65
2104,guess,assume,6.64
2105,catch,hold,4.32
2106,dismiss,leave,4.48
2107,dash,run,8.3
2108,remove,unload,5.81
2109,request,demand,4.48
2110,glide,slide,5.13
2111,sew,mend,7.14
2112,steer,drive,5.98
2113,adjourn,dismiss,5.98
2114,search,find,4.81
2115,pray,ask,3.82
2116,steal,poach,6.31
2117,forget,dismiss,5.81
2118,compose,decompose,1.16
2119,drown,sink,2.99
2120,search,hunt,7.47
2121,finish,solve,5.98
2122,amuse,laugh,7.3
2123,remember,think,3.49
2124,grow,learn,5.98
2125,argue,prove,3.49
2126,design,decorate,5.15
2127,think,calculate,6.64
2128,prohibit,refuse,6.31
2129,retain,save,7.3
2130,catch,throw,1.99
2131,advise,teach,6.31
2132,obtain,hold,5.31
2133,whip,cook,2.16
2134,sing,scream,2.49
2135,dance,swing,4.15
2136,despair,dismay,5.98
2137,swing,hang,3.82
2138,dismiss,push,1.99
2139,hide,appear,0.5
2140,spend,pay,6.64
2141,walk,follow,2.82
2142,change,remain,0.5
2143,discourage,hate,2.99
2144,hamper,hurt,4.53
2145,persuade,beg,5.31
2146,weave,spin,4.32
2147,help,use,1.16
2148,irritate,nag,6.64
2149,restore,replace,4.32
2150,help,concern,3.49
2151,abduct,capture,7.8
2152,crunch,destroy,3.65
2153,stay,attend,2.32
2154,set,prepare,4.98
2155,struggle,hurt,1.66
2156,pinch,grab,4.65
2157,upset,offend,8.63
2158,choose,predict,4.32
2159,move,tend,1.66
2160,strip,drag,1.16
2161,find,disappear,0.5
2162,break,deteriorate,5.31
2163,travel,hike,4.98
2164,yell,complain,5.15
2165,restore,mend,9.13
2166,excel,drive,2.16
2167,live,perish,1
2168,reel,pull,5.98
2169,pinch,dash,1.66
2170,offend,annoy,4.32
2171,release,take,1.49
2172,exchange,change,5.15
2173,define,say,3.82
2174,hear,repeat,0.66
2175,scream,squeak,4.32
2176,lower,kneel,2.99
2177,waste,deteriorate,6.64
2178,give,borrow,2.66
2179,compose,originate,5.15
2180,happen,appear,1.83
2181,deliver,save,1
2182,incline,suggest,4.81
2183,call,reply,3.32
2184,crunch,crush,6.31
2185,cough,yawn,1.66
2186,recycle,use,2.99
